window,month,V,L,S,C,BIS,episode
dotcom,2000-02,1.9738962597894987,1.7651335531398467,-0.15487371389576926,5.219473943252774,2.2009075105715876,"dotcom
2000-02"
gfc,2007-12,-0.7045977867822075,2.1066082257743983,0.05375537117225736,-0.0758393395023072,0.34498161766553526,"gfc
2007-12"
ai,2020-12,2.020855597725451,1.0896608975416093,0.4158315781984859,2.9742046343422714,1.6251381769519544,"ai
2020-12"
