window,month,V,L,S,C,BIS
dotcom,1995-01,1.1260240567547055,0.25623803432650283,0.7897923352252687,1.3326691665966874,0.876180898225791
dotcom,1995-02,1.298227213092523,0.17375072686518397,0.9038530331888968,1.3112265269075238,0.9217643750135319
dotcom,1995-03,1.3975135224876656,0.11309502665416107,0.7495725647254576,1.3683901322722938,0.9071428115348945
dotcom,1995-04,1.5423852797547644,0.10895074171836729,0.5079801577026357,1.2736190964723875,0.8582338189120386
dotcom,1995-05,1.707837202574676,0.05315412401064429,0.6573325394640634,1.3787998229401428,0.9492809222473817
dotcom,1995-06,1.856195998569244,0.04938064018961309,0.48283690215644726,1.6299507737972183,1.0045910786781307
dotcom,1995-07,2.0442993730905346,-0.008858476387533131,0.36899658181236666,2.130891753775394,1.1338323080726906
dotcom,1995-08,1.983467098097481,-0.10938935255029716,0.3439628676258139,2.4048492449946837,1.1557224645419204
dotcom,1995-09,2.178270185162359,-0.2863792951924667,0.8540706575956953,2.405466932720499,1.2878571200715219
dotcom,1995-10,2.142702199551428,-0.3797685019011392,0.631829617991125,1.9471754785154507,1.0854846985392161
dotcom,1995-11,2.2457652358912568,-0.37700160802795296,0.7327862889883696,1.9329803127905247,1.1336325574105495
dotcom,1995-12,2.421059079609427,-0.3785426328784367,0.9326318805094611,1.5618003914076823,1.1342371796620334
dotcom,1996-01,2.2838617283478686,-0.5436121409362508,0.6086237356569107,1.322304672801904,0.9177944989676081
dotcom,1996-02,2.616111901953569,-0.6216140492805404,0.37064457655669636,1.4124075540890446,0.9443874958296923
dotcom,1996-03,2.4308203785277365,-0.6052148643784306,0.037541008549248356,1.4257170500117076,0.8222158931775654
dotcom,1996-04,2.2997883370975036,-0.5184737588360494,0.13653357292812487,1.8162334105466007,0.933520390434045
dotcom,1996-05,2.3585659077158043,-0.38233233950010903,0.41442507218771396,2.3295592735555313,1.180054478489735
dotcom,1996-06,2.3418558885017355,-0.33053349600246623,0.3389632046802391,2.027969433196829,1.0945637575940843
dotcom,1996-07,1.953180996971851,-0.3354796275454967,0.013845069600345067,1.4924814098242825,0.7810069622127455
dotcom,1996-08,2.074191111356879,-0.42916136251997933,0.259880693997207,1.4416929164875454,0.8366508398304131
dotcom,1996-09,2.1084367364162775,-0.5107366207967681,0.08200072416790623,1.6853237870419007,0.8412561567073291
dotcom,1996-10,2.2928335065285026,-0.7223086603320736,0.49263510651032727,1.6602778483559015,0.9308594502656644
dotcom,1996-11,2.5455995333344448,-0.82140284213619,0.5102912766721868,1.365209888600776,0.8999244641178044
dotcom,1996-12,2.504476631214551,-0.8387875766357901,-0.09271622908323063,1.4869709169828327,0.7649859356195907
dotcom,1997-01,2.589540271716087,-0.7546739810303151,0.1287879735772272,1.5561244108115069,0.8799446687686265
dotcom,1997-02,2.744444719553415,-0.8483952222694036,0.08713980538771943,1.164789726128356,0.7869947572000218
dotcom,1997-03,2.5229832519852673,-0.8617350836003715,-0.009532858790502419,0.7596774787448732,0.6028481970848167
dotcom,1997-04,2.1365377860420582,-0.7289256948022512,-0.001279691169956021,0.6625931094773927,0.5172313773868109
dotcom,1997-05,2.652637338482594,-0.642543006035638,0.07357038845941233,0.7644906137635177,0.7120388336674714
dotcom,1997-06,2.86643961636785,-0.5954785281022555,0.20523965338476918,0.7516575068621596,0.8069645621281307
dotcom,1997-07,3.0843388418875324,-0.33321543177718616,0.06170930450671497,0.913153758931567,0.9314966183871571
dotcom,1997-08,2.905660434665461,-0.3115353446774558,-0.2510808625796045,1.2656655393642229,0.902177441693156
dotcom,1997-09,2.801566238107728,-0.35606646007067433,-0.26209338663014137,1.5112576172677887,0.9236660021686753
dotcom,1997-10,2.7422076771960957,-0.1543480139947948,-0.3383528467546566,1.4650973605705855,0.9286510442543074
dotcom,1997-11,2.538231937077448,-0.14099866687732587,-1.310998235958868,1.0999507234195476,0.5465464394152004
dotcom,1997-12,2.5987491805505836,-0.09158734441414229,-0.45527966351660254,0.6673111192439329,0.679798322965943
dotcom,1998-01,2.4842240438765697,0.14770163221941812,-0.2868635874985526,0.6646865413214358,0.7524371574797177
dotcom,1998-02,2.757320727497626,0.1282736282559317,-0.1424593676640738,0.8976386393044267,0.9101934068484776
dotcom,1998-03,2.945681705033295,0.06289370229303881,0.0658382265455153,0.7709184137431347,0.961333011903746
dotcom,1998-04,3.0003258891390567,0.2867368803284319,-0.06904057808342384,0.8204021617229549,1.0096060882767548
