month,value
1990-01,23.347272727272728
1990-02,23.262631578947367
1990-03,20.062272727272727
1990-04,21.4035
1990-05,18.097727272727273
1990-06,16.822380952380954
1990-07,18.392857142857142
1990-08,28.175217391304347
1990-09,29.10736842105263
1990-10,29.625652173913043
1990-11,24.885714285714286
1990-12,23.363
1991-01,27.42909090909091
1991-02,21.59842105263158
1991-03,17.74421052631579
1991-04,17.37272727272727
1991-05,16.93227272727273
1991-06,17.135
1991-07,17.294090909090908
1991-08,15.681363636363637
1991-09,16.9565
1991-10,16.36391304347826
1991-11,17.7735
1991-12,18.347619047619048
1992-01,17.68318181818182
1992-02,17.47736842105263
1992-03,17.520454545454545
1992-04,16.562857142857144
1992-05,15.077
1992-06,15.203181818181818
1992-07,13.601818181818182
1992-08,14.421904761904761
1992-09,13.696666666666667
1992-10,17.63681818181818
1992-11,14.4245
1992-12,12.191363636363636
1993-01,12.409
1993-02,13.721578947368421
1993-03,13.60608695652174
1993-04,12.84095238095238
1993-05,13.606
1993-06,12.524090909090908
1993-07,11.50047619047619
1993-08,11.928636363636365
1993-09,12.93142857142857
1993-10,11.875238095238096
1993-11,14.083809523809524
1993-12,11.356363636363636
1994-01,11.290476190476191
1994-02,13.64421052631579
1994-03,15.223478260869564
1994-04,16.471052631578946
1994-05,13.897142857142857
1994-06,13.408636363636363
1994-07,12.4845
1994-08,11.889130434782608
1994-09,13.233333333333333
1994-10,15.245238095238095
1994-11,16.383809523809525
1994-12,14.177142857142858
1995-01,12.274285714285714
1995-02,11.47
1995-03,12.166521739130435
1995-04,12.442631578947369
1995-05,12.26590909090909
1995-06,11.896818181818182
1995-07,12.514
1995-08,12.798260869565217
1995-09,12.057
1995-10,14.357272727272727
1995-11,12.469047619047618
1995-12,11.7485
1996-01,13.473636363636363
1996-02,15.033
1996-03,17.76238095238095
1996-04,16.575238095238095
1996-05,16.14636363636364
1996-06,16.395
1996-07,17.978636363636365
1996-08,15.760454545454545
1996-09,16.578
1996-10,16.381739130434784
1996-11,15.997
1996-12,19.260952380952382
1997-01,19.473333333333333
1997-02,20.139473684210525
1997-03,20.17
1997-04,19.66227272727273
1997-05,19.924761904761905
1997-06,20.194285714285716
1997-07,20.529090909090908
1997-08,23.084761904761905
1997-09,23.812380952380952
1997-10,23.870869565217394
1997-11,32.20611111111111
1997-12,26.276363636363637
1998-01,23.8665
1998-02,19.998947368421053
1998-03,20.158636363636365
1998-04,22.02857142857143
1998-05,20.874
1998-06,21.662727272727274
1998-07,19.93
1998-08,31.58809523809524
1998-09,38.2047619047619
1998-10,36.60818181818182
1998-11,26.223
1998-12,25.47909090909091
1999-01,28.035263157894736
1999-02,28.82263157894737
1999-03,25.309565217391302
1999-04,23.478571428571428
1999-05,26.2045
1999-06,23.626363636363635
1999-07,21.04904761904762
1999-08,24.323636363636364
1999-09,24.541428571428572
1999-10,24.021428571428572
1999-11,21.81809523809524
1999-12,22.04095238095238
2000-01,23.202
2000-02,23.5955
2000-03,22.718260869565217
2000-04,27.164210526315788
2000-05,26.37318181818182
2000-06,21.54
2000-07,19.893
2000-08,18.088695652173914
2000-09,19.6875
2000-10,25.2
2000-11,26.382857142857144
2000-12,26.5305
2001-01,24.91857142857143
2001-02,23.411578947368422
2001-03,28.49681818181818
2001-04,28.134
2001-05,22.94409090909091
2001-06,20.94047619047619
2001-07,22.316190476190478
2001-08,21.86173913043478
2001-09,35.065333333333335
2001-10,32.721304347826084
2001-11,26.63095238095238
2001-12,23.72
2002-01,22.252857142857142
2002-02,22.87578947368421
2002-03,18.985
2002-04,19.900454545454547
2002-05,20.08772727272727
2002-06,25.271
2002-07,34.04954545454545
2002-08,33.74272727272727
2002-09,37.6475
2002-10,35.24304347826087
2002-11,28.175
2002-12,28.21047619047619
2003-01,27.424285714285716
2003-02,32.21842105263158
2003-03,30.634285714285713
2003-04,23.991904761904763
2003-05,20.23952380952381
2003-06,20.362380952380953
2003-07,19.161363636363635
2003-08,19.274285714285714
2003-09,19.532380952380954
2003-10,18.023478260869567
2003-11,17.40105263157895
2003-12,16.826363636363638
2004-01,16.101
2004-02,15.99842105263158
2004-03,17.687391304347827
2004-04,15.698571428571428
2004-05,17.705
2004-06,15.342727272727274
2004-07,15.502380952380953
2004-08,16.68409090909091
2004-09,14.08095238095238
2004-10,14.973809523809523
2004-11,13.577619047619049
2004-12,12.459545454545454
2005-01,13.438
2005-02,11.708947368421052
2005-03,13.126363636363637
2005-04,14.459047619047618
2005-05,13.967619047619047
2005-06,11.868636363636364
2005-07,11.049
2005-08,12.951304347826087
2005-09,12.628095238095238
2005-10,14.937619047619048
2005-11,12.147619047619047
2005-12,11.26
2006-01,12.036
2006-02,12.471052631578948
2006-03,11.693913043478261
2006-04,11.847368421052632
2006-05,14.454545454545455
2006-06,16.918636363636363
2006-07,15.326
2006-08,13.351739130434783
2006-09,12.1845
2006-10,11.306363636363637
2006-11,10.817619047619047
2006-12,10.964500000000001
2007-01,11.0425
2007-02,11.155263157894737
2007-03,15.162727272727272
2007-04,12.933
2007-05,13.297727272727272
2007-06,14.947619047619048
2007-07,17.273333333333333
2007-08,25.026086956521738
2007-09,22.198947368421052
2007-10,19.115652173913045
2007-11,25.58238095238095
2007-12,21.651
2008-01,25.816190476190478
2008-02,25.456
2008-03,27.1035
2008-04,21.562727272727273
2008-05,18.303333333333335
2008-06,22.11047619047619
2008-07,24.32181818181818
2008-08,20.695714285714285
2008-09,30.23857142857143
2008-10,61.17739130434783
2008-11,62.66894736842105
2008-12,52.405
2009-01,44.683
2009-02,45.57052631578947
2009-03,44.79545454545455
2009-04,38.063809523809525
2009-05,31.978
2009-06,29.140454545454546
2009-07,26.162727272727274
2009-08,25.337142857142858
2009-09,24.926666666666666
2009-10,24.252272727272725
2009-11,23.789
2009-12,21.239545454545453
2010-01,20.64315789473684
2010-02,22.54
2010-03,17.767391304347825
2010-04,17.424285714285713
2010-05,31.9295
2010-06,29.916363636363638
2010-07,25.565238095238094
2010-08,24.74590909090909
2010-09,22.517619047619046
2010-10,20.373333333333335
2010-11,20.095714285714287
2010-12,17.569545454545455
2011-01,17.3155
2011-02,17.43
2011-03,20.723478260869566
2011-04,16.244
2011-05,16.911428571428573
2011-06,19.153181818181817
2011-07,19.2275
2011-08,35.02913043478261
2011-09,36.53
2011-10,32.82904761904762
2011-11,31.941904761904762
2011-12,25.047619047619047
2012-01,20.228
2012-02,18.4205
2012-03,16.167272727272728
2012-04,17.823
2012-05,21.00181818181818
2012-06,21.13095238095238
2012-07,17.565238095238094
2012-08,15.689565217391305
2012-09,15.284736842105263
2012-10,16.276190476190475
2012-11,16.70190476190476
2012-12,17.307
2013-01,13.505238095238095
2013-02,14.072631578947368
2013-03,13.0315
2013-04,13.967272727272727
2013-05,13.493636363636364
2013-06,17.2715
2013-07,13.974545454545455
2013-08,14.21
2013-09,14.692
2013-10,15.407826086956522
2013-11,12.924
2013-12,14.192380952380953
2014-01,14.24095238095238
2014-02,15.47
2014-03,14.836666666666666
2014-04,14.198095238095238
2014-05,12.475238095238096
2014-06,11.541428571428572
2014-07,12.296363636363637
2014-08,13.491904761904763
2014-09,13.466666666666667
2014-10,18.058695652173913
2014-11,13.413157894736843
2014-12,16.292272727272728
2015-01,19.1195
2015-02,15.90421052631579
2015-03,14.812727272727273
2015-04,13.494761904761905
2015-05,13.3385
2015-06,14.339545454545455
2015-07,14.352727272727272
2015-08,19.42809523809524
2015-09,24.377142857142857
2015-10,16.789545454545454
2015-11,16.21
2015-12,18.025454545454547
2016-01,23.717894736842105
2016-02,22.517
2016-03,15.84909090909091
2016-04,14.300476190476191
2016-05,14.852857142857143
2016-06,17.774545454545454
2016-07,13.1585
